id,poem
0,"Есть музыка, стихи и танцы,
Есть ложь и лесть...
Пускай меня бранят за стансы —
В них правда есть.

Я видел праздник, праздник мая —
И поражен.
Готов был сгибнуть, обнимая
Всех дев и жен.

Куда пойдешь, кому расскажешь
На чье-то «хны»,
Что в солнечной купались пряже
Балаханы?

Ну как тут в сердце гимн не высечь,
Не впасть как в дрожь?
Гуляли, пели сорок тысяч
И пили тож.

Стихи! стихи! Не очень лефте!
Простей! Простей!
Мы пили за здоровье нефти
И за гостей.

И, первый мой бокал вздымая,
Одним кивком
Я выпил в этот праздник мая
За Совнарком.

Второй бокал, чтоб так, не очень
Вдрезину лечь,
Я выпил гордо за рабочих
Под чью-то речь.

И третий мой бокал я выпил,
Как некий хан,
За то, чтоб не сгибалась в хрипе
Судьба крестьян.

Пей, сердце! Только не в упор ты,
Чтоб жизнь губя...
Вот потому я пил четвертый
Лишь за тебя."
1,"Радость, как плотвица быстрая,
Юрко светит и в воде.
Руки могут церковь выстроить
И кукушке и звезде.
Кайся нивам и черемухам, -
У живущих нет грехов.
Из удачи зыбы промаха
Воют только на коров.
Не зови себя разбойником,
Если ж чист, так падай в грязь.
Верь - теленку из подойника
Улыбается карась."
2,"Алый мрак в небесной черни
Начертил пожаром грань.
Я пришел к твоей вечерне,
Полевая глухомань.

Нелегка моя кошница,
Но глаза синее дня.
Знаю, мать-земля черница,
Все мы тесная родня.

Разошлись мы в даль и шири
Под лазоревым крылом.
Но сзовет нас из псалтыри
Заревой заре псалом.

И придем мы по равнинам
К правде сошьего креста
Светом книги голубиной
Напоить свои уста."
3,"             Сестре Шуре

Ах, как много на свете кошек,
Нам с тобой их не счесть никогда.
Сердцу снится душистый горошек,
И звенит голубая звезда.

Наяву ли, в бреду иль спросонок,
Только помню с далекого дня -
На лежанке мурлыкал котенок,
Безразлично смотря на меня.

Я еще тогда был ребенок,
Но под бабкину песню вскок
Он бросался, как юный тигренок,
На оброненный ею клубок.

Все прошло. Потерял я бабку,
А еще через несколько лет
Из кота того сделали шапку,
А ее износил наш дед."
4,"Ах, метель такая, просто черт возьми!
Забивает крышу белыми гвоздьми.
Только мне не страшно, и в моей судьбе
Непутевым сердцем я прибит к тебе."
5,"В зимний вечер по задворкам
Разухабистой гурьбой
По сугробам, по пригоркам
Мы идем, бредем домой.
Опостылеют салазки,
И садимся в два рядка
Слушать бабушкины сказки
Про Ивана-дурака.
И сидим мы, еле дышим.
Время к полночи идет.
Притворимся, что не слышим,
Если мама спать зовет.
Сказки все. Пора в постели...
Но а как теперь уж спать?
И опять мы загалдели,
Начинаем приставать.
Скажет бабушка несмело:
""Что ж сидеть-то до зари?""
Ну, а нам какое дело, -
Говори да говори."
6,"Пой песню, поэт,
Пой.
Ситец неба такой
Голубой.
Море тоже рокочет
Песнь.
Их было
26.
26 их было,
26.
Их могилы пескам
Не занесть.
Не забудет никто
Их расстрел
На 207-ой
Версте.
Там за морем гуляет
Туман.
Видишь, встал из песка
Шаумян.
Над пустыней костлявый
Стук.
Вон еще 50
Рук
Вылезают, стирая
Плеснь.
26 их было,
26.
Кто с прострелом в груди,
Кто в боку,
Говорят:
""Нам пора в Баку -
Мы посмотрим,
Пока есть туман,
Как живет
Азербайджан"".
. . . . . . . . .
. . . . . . . . .
Ночь, как дыню,
Катит луну.
Море в берег
Струит волну.
Вот в такую же ночь
И туман
Расстрелял их
Отряд англичан.

Коммунизм -
Знамя всех свобод.
Ураганом вскипел
Народ.
На империю встали
В ряд
И крестьянин
И пролетариат.
Там, в России,
Дворянский бич
Был наш строгий отец
Ильич.
А на Востоке
Здесь
Их было
26.

Все помнят, конечно,
Тот,
18-ый, несчастный
Год.
Тогда буржуа
Всех стран
Обстреливали
Азербайджан.

Тяжел был Коммуне
Удар.
Не вынес сей край
И пал,
Но жутче всем было
Весть
Услышать
Про 26.

В пески, что как плавленый
Воск,
Свезли их
За Красноводск.
И кто саблей,
Кто пулей в бок,
Всех сложили на желтый
Песок.

26 их было,
26.
Их могилы пескам
Не занесть.
Не забудет никто
Их расстрел
На 207-ой
Версте.

Там за морем гуляет
Туман.
Видишь, встал из песка
Шаумян.
Над пустыней костлявый
Стук.
Вон еще 50
Рук
Вылезают, стирая
Плеснь.
26 их было,
26.
. . . . . . . . . . . .
Ночь как будто сегодня
Бледней.
Над Баку
26 теней.
Теней этих
26.
О них наша боль
И песнь.

То не ветер шумит,
Не туман.
Слышишь, как говорит
Шаумян:
""Джапаридзе,
Иль я ослеп,
Посмотри:
У рабочих хлеб.
Нефть - как черная
Кровь земли.
Паровозы кругом...
Корабли...
И во все корабли,
В поезда
Вбита красная наша
Звезда"".

Джапаридзе в ответ:
""Да, есть.
Это очень приятная
Весть.
Значит, крепко рабочий
Класс
Держит в цепких руках
Кавказ.

Ночь, как дыню,
Катит луну.
Море в берег
Струит волну.
Вот в такую же ночь
И туман
Расстрелял нас
Отряд англичан"".

Коммунизм -
Знамя всех свобод.
Ураганом вскипел
Народ.
На империю встали
В ряд
И крестьянин
И пролетариат.
Там, в России,
Дворянский бич
Был наш строгий отец
Ильич.
А на Востоке
Здесь
26 их было,
26.
. . . . . . . . . . .
Свет небес все синей
И синей.
Молкнет говор
Дорогих теней.
Кто в висок прострелен,
А кто в грудь.
К Ахч-Куйме
Их обратный путь...

Пой, поэт, песню,
Пой,
Ситец неба такой
Голубой...
Море тоже рокочет
Песнь.
26 их было,
26."
7,"Корабли плывут
В Константинополь.
Поезда уходят на Москву.
От людского шума ль
Иль от скопа ль
Каждый день я чувствую
Тоску.

Далеко я,
Далеко заброшен,
Даже ближе
Кажется луна.
Пригоршнями водяных горошин
Плещет черноморская
Волна.

Каждый день
Я прихожу на пристань,
Провожаю всех,
Кого не жаль,
И гляжу все тягостней
И пристальней
В очарованную даль.

Может быть, из Гавра
Иль Марселя
Приплывет
Луиза иль Жаннет,
О которых помню я
Доселе,
Но которых
Вовсе — нет.

Запах моря в привкус
Дымно-горький,
Может быть,
Мисс Митчел
Или Клод
Обо мне вспомянут
В Нью-Йорке,
Прочитав сей вещи перевод.

Все мы ищем
В этом мире буром
Нас зовущие
Незримые следы.
Не с того ль,
Как лампы с абажуром,
Светятся медузы из воды?

Оттого
При встрече иностранки
Я под скрипы
Шхун и кораблей
Слышу голос
Плачущей шарманки
Иль далекий
Окрик журавлей.

Не она ли это?
Не она ли?
Ну да разве в жизни
Разберешь?
Если вот сейчас ее
Догнали
И умчали
Брюки клеш.

Каждый день
Я прихожу на пристань,
Провожаю всех,
Кого не жаль,
И гляжу все тягостней
И пристальней
В очарованную даль.

А другие здесь
Живут иначе.
И недаром ночью
Слышен свист,—
Это значит,
С ловкостью собачьей
Пробирается контрабандист.

Пограничник не боится
Быстри.
Не уйдет подмеченный им
Враг,
Оттого так часто
Слышен выстрел
На морских, соленых
Берегах.

Но живуч враг,
Как ни вздынь его,
Потому синеет
Весь Батум.
Даже море кажется мне
Индиго
Под бульварный
Смех и шум.

А смеяться есть чему
Причина.
Ведь не так уж много
В мире див.
Ходит полоумный
Старичина,
Петуха на темень посадив.

Сам смеясь,
Я вновь иду на пристань,
Провожаю всех,
Кого не жаль,
И гляжу все тягостней
И пристальней
В очарованную даль."
8,"Без шапки, с лыковой котомкой,
Стирая пот свой, как елей,
Бреду дубравною сторонкой
Под тихий шелест тополей.

Иду, застегнутый веревкой,
Сажусь под копны на лужок.
На мне дырявая поддевка,
А поводырь мой - подожок.

Пою я стих о светлом рае,
Довольный мыслью, что живу,
И крохи сочные бросаю
Лесным камашкам на траву.

По лопуху промяты стежки,
Вдали озерный купорос,
Цепляюсь в клейкие сережки
Обвисших до земли берез.

И по кустам межи соседней,
Под возглашенья гулких сов,
Внимаю, словно за обедней,
Молебну птичьих голосов."
9,"Белая свитка и алый кушак,
Рву я по грядкам зардевшийся мак.
Громко звенит за селом хоровод,
Там она, там она песни поет.

Счастье его, что в нем меньше стыда,
В шею ей лезла его борода.
Свившись с ним в жгучее пляски кольцо,
Брызнула смехом она мне в лицо.

Белая свитка и алый кушак,
Рву я по грядкам зардевшийся мак.
Маком влюбленное сердце цветет,
Только не мне она песни поет.
"
