id,poem
0,"Всегда чего-нибудь нет,-
Чего-нибудь слишком много...
На все как бы есть ответ -
Но без последнего слога.

Свершится ли что - не так,
Некстати, непрочно, зыбко...
И каждый не верен знак,
В решеньи каждом - ошибка.

Змеится луна в воде,-
Но лжет, золотясь, дорога...
Ущерб, перехлест везде.
А мера - только у Бога."
1,"Стояла батарея за этим вот холмом,
Нам ничего не слышно, а здесь остался гром.

Под этим снегом трупы еще лежат вокруг,
И в воздухе морозном остались взмахи рук.

Ни шагу знаки смерти ступить нам не дают.
Сегодня снова, снова убитые встают.
Сейчас они услышат, как снегири поют."
2,"Над миром тайна и в сердце тайна, 
А здесь - пустынный и мглистый сон. 
Все в мире просто, необычайно: 
И бледный месяц, и горный склон. 
В тиши вечерней все стало чудом, 
Но только чудо и хочет быть, 
И сердце, ставши немым сосудом, 
Проносит влагу, боясь пролить. 
Рдяные крылья во тьме повисли, 
Я знаю меньше, чем знала встарь. 
Над миром тайна и тайна в мысли, 
А между ними - земной алтарь."
3,"Розовый, свежий, дородный,
Юный, веселый всегда,
Разума даже следа
Нет в голове благородной,
Ходит там ветер сквозной...
   Экой счастливец какой!

Долго не думая, смело,
В доброе время и час,
Вздумал - и сделал как раз
Самое скверное дело,
Не возмутившись душой...
   Экой счастливец какой!

С голоду гибнут крестьяне...
Пусть погибает весь свет!
Вот он на званый обед
Выехал: сани не сани!
Конь, что за конь вороной!
   Экой счастливец какой!

Женщину встретит - под шляпку
Взглянет, тряхнет кошельком
И, насладившись цветком,
Бросит, как старую тряпку, -
И уж подъехал к другой...
   Экой счастливец какой!

Рыщет себе беззаботно,
Не о чем, благо, тужить...
В службу предложат вступить -
Вступит и в службу охотно.
Будет сановник большой...
   Экой счастливец какой!

Розовый, свежий, дородный,
Труд и несчастный расчет
Подлым мещанством зовет...
Враг всякой мысли свободной,
Чувства и речи родной...
   Экой счастливец какой!"
4,"Словно тяжким огромным молотом
Раздробили слабую грудь.
Откупиться бы ярким золотом, —
Только раз, только раз вздохнуть!

Приподняться бы над подушками,
Снова видеть широкий пруд, 
Снова видеть, как над верхушками
Сизых елей тучи плывут.

Все приму я: боль и отчаянье, 
Даже жалости острие.
Только пыльный свой плащ раскаянья
Не клади на лицо мое!"
5,"Не наша вера к вам слетела,
Не то дает огонь словам;
Не за одно стоим мы дело;
Вы чужды и противны нам.

Ты, с виду кающийся мытник!
России самозванный сын,
Ее непрошеный защитник,
На всё озлобленный мордвин!

Ты - нарицательное имя,
Местоименье подлеца,
Зовущий к господу: ""Смири мя!"" -
И днесь смиренный до льстеца!

И ты, писатель запоздалый!
Классических носитель уз,
Великий злостью, телом малый,
Упрямый почитатель муз!

И много мелочи ничтожной -
Ее и глаз не разберет, -
Но разъяренный, но тревожный,
Но злой и мстительный парод!

Не съединит нас буква мненья;
Во всем мы розны меж собой,
И ваше злобное шипенье -
Не голос смелый и прямой.

Нет, вас не примем мы к совету;
Не вам внимать родному зву!
Мы отказали Маржерету,
Как шли освобождать Москву!

На битвы выходя святые,
Да будем чисты меж собой!
Вы прочь, союзники гнилые!
А вы, противники, - на бой!"
6,"Странных и новых ищу на страницах
Старых испытанных книг,
Грежу о белых исчезнувших птицах,
Чую оторванный миг.

Жизнью шумящей нестройно взволнован,
Шепотом, криком смущен,
Белой мечтой неподвижно прикован
К берегу поздних времен.

Белая Ты, в глубинах несмутима,
В жизни - строга и гневна.
Тайно тревожна и тайно любима,
Дева, Заря, Купина.

Блекнут ланиты у дев златокудрых,
Зори не вечны, как сны.
Терны венчают смиренных и мудрых
Белым огнем Купины.
"
7,"В этой келье, тоскливой и душной,
Доживали последние дни
Два борца…

Узник, брат, преклони,
Зову горькой утраты послушный.
Преклони с тихой грустью колени.
Когда в сумраке серых углов
Пред тобой встанут черные тени
Двух безвременно павших борцов."
8,"Я ль первый отойду из мира в вечность — ты ли,
Предупредив меня, уйдешь за грань могил,
Поведать небесам страстей земные были,
Невероятные в стране бесплотных сил!
Мы оба поразим своим рассказом небо
Об этой злой земле, где брат мой просит хлеба,
Где золото к вражде — к безумию ведет,
Где ложь всем явная наивно лицемерит,
Где робкое добро себе пощады ждет,
А правда так страшна, что сердце ей не верит,
Где — ненавидя — я боролся и страдал,
Где ты — любя — томилась и страдала;
Но —
    Ты скажи, что я не проклинал;
А я скажу, что ты благословляла!.."
9,"                        Посвящается Ларисе

Ты знаешь ли, милый, до встречи с тобою,
Когда еще девочкой дома жила,
Я страстно любила грозу - и ждала
Всегда с нетерпеньем ее. И грозою
Я шла любоваться в открытое поле!..
Лишь только заслышу удар громовой
И ветра заслышу свирепого вой, -
О, как вдруг захочется быть мне на воле!
Из комнаты душной бегу я с отрадой,
Ни матери крик, ни угроза отца -
Ничто не пугает... сбегаю с крыльца,
И миг лишь - и я за садовой оградой!
Грохочут, хохочут свинцовые тучи...
Соседняя роща, шатаясь, шумит,
А в поле открытом свирепо царит,
Порывисто мечется ветер могучий.
Он черные косы растреплет мои,
Горячие щеки мои обвевает,
Мне путь преграждая, свирепо кидает
На грудь мою сильные волны свои...
А я всё иду... Мне и любо и мило
Бороться с напором дыханья его...
И, грудью встречая врага своего,
В ту пору я много в ней чуяла силы.
Но тучи промчатся... Расстаться так жаль
Мне с волнами, с ветром, с раскатами грома,
Чтоб снова под кровлей постылого дома
Встречать лишь обыденной жизни печаль.
А отчий мой дом, как тюремные своды,
Давил мою душу... Работал мой ум,
А сердце просило свободы, свободы, -
Простора и жизни для чувства и дум!..
На подвиг рвалась моя сила, как рвется
Измученный узник из душной тюрьмы, -
В открытое поле из тягостной тьмы,
Под ясное небо, где солнце смеется!
Я вырвалась в жизнь!.. Я свободна, мой милый, -
Сильна и бороться с судьбою хочу!
Наружу дать выход живому ключу
Моей молодой и нетронутой силы!
С трудом и с борьбою я жаждала встречи, -
За них я укора судьбе не пошлю:
Я братьев-людей беззаветно люблю
И бременем лечь не хочу на их плечи!..
Страданья?! О, милый! чтоб с ними бороться,
Я силы так много скопила в груди!..
И если, мой друг, и тебе впереди
Спознаться со вражеской злобой придется -
За гордость души, за твои убежденья,
За честное сердце, за смелость ума
Постигнут тебя униженья, тюрьма
И ряд нескончаемых жгучих мучений -
Тогда принесу я тебе не слезу,
О нет, мой желанный!.. Тогда я явлюся,
Тебя поцелую, тебе улыбнуся
И крест твой тяжелый с тобой понесу."
